Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Battery Park City,Coffee Shop,Hotel,Park,Clothing Store,Memorial Site,Gym,Shopping Mall,Plaza,Playground,Food Court
Carnegie Hill,Coffee Shop,Pizza Place,Café,Yoga Studio,Gym / Fitness Center,Bookstore,Gym,Bar,Wine Shop,Grocery Store
Central Harlem,French Restaurant,Chinese Restaurant,Gym / Fitness Center,Public Art,Bar,Seafood Restaurant,American Restaurant,African Restaurant,Cafeteria,Grocery Store
Chelsea,Coffee Shop,Bakery,Art Gallery,Ice Cream Shop,French Restaurant,Café,Italian Restaurant,Wine Shop,American Restaurant,Cycle Studio
Chinatown,Chinese Restaurant,Bakery,Cocktail Bar,American Restaurant,Spa,Optical Shop,Vietnamese Restaurant,Shanghai Restaurant,Supermarket,Salon / Barbershop
Civic Center,Coffee Shop,Cocktail Bar,Spa,Hotel,Gym / Fitness Center,French Restaurant,Yoga Studio,Sushi Restaurant,Park,American Restaurant
Clinton,Theater,Gym / Fitness Center,Italian Restaurant,Coffee Shop,American Restaurant,Gym,Cocktail Bar,Spa,Hotel,Sandwich Place
East Harlem,Mexican Restaurant,Bakery,Thai Restaurant,Deli / Bodega,Latin American Restaurant,Sandwich Place,Spanish Restaurant,Gym,Grocery Store,Taco Place
East Village,Bar,Pizza Place,Mexican Restaurant,Cocktail Bar,Salon / Barbershop,Coffee Shop,Vegetarian / Vegan Restaurant,Korean Restaurant,Ice Cream Shop,Wine Bar
Financial District,Coffee Shop,Pizza Place,American Restaurant,Cocktail Bar,Bar,Park,Gym,Italian Restaurant,Falafel Restaurant,Mexican Restaurant
Flatiron,Coffee Shop,American Restaurant,New American Restaurant,Japanese Restaurant,Café,Sporting Goods Shop,Spa,Gym / Fitness Center,Mediterranean Restaurant,Cycle Studio
Gramercy,Bar,Thrift / Vintage Store,Pizza Place,Bagel Shop,Italian Restaurant,American Restaurant,Ice Cream Shop,Playground,Cocktail Bar,Coffee Shop
Greenwich Village,Italian Restaurant,Sushi Restaurant,Clothing Store,Café,Bakery,Indian Restaurant,Dessert Shop,American Restaurant,Seafood Restaurant,French Restaurant
Hamilton Heights,Pizza Place,Café,Coffee Shop,Deli / Bodega,Mexican Restaurant,Park,Caribbean Restaurant,Chinese Restaurant,School,Sandwich Place
Hudson Yards,American Restaurant,Gym / Fitness Center,Hotel,Italian Restaurant,Café,Gym,Boat or Ferry,Coffee Shop,Park,Dog Run
Inwood,Lounge,Café,Mexican Restaurant,Restaurant,Chinese Restaurant,Frozen Yogurt Shop,Park,Spanish Restaurant,Bakery,Pizza Place
Lenox Hill,Italian Restaurant,Sushi Restaurant,Coffee Shop,Pizza Place,Café,Cocktail Bar,Burger Joint,Deli / Bodega,Gym / Fitness Center,Gym
Lincoln Square,Café,Plaza,Italian Restaurant,Concert Hall,Gym / Fitness Center,Performing Arts Venue,Theater,Wine Shop,Indie Movie Theater,French Restaurant
Little Italy,Bakery,Italian Restaurant,Café,Chinese Restaurant,Sandwich Place,Bubble Tea Shop,Cocktail Bar,Clothing Store,Mediterranean Restaurant,Pizza Place
Lower East Side,Chinese Restaurant,Art Gallery,Japanese Restaurant,Coffee Shop,Bakery,Café,Ramen Restaurant,Tennis Court,Latin American Restaurant,Bike Rental / Bike Share
Manhattan Valley,Bar,Coffee Shop,Indian Restaurant,Thai Restaurant,Playground,Pizza Place,Mexican Restaurant,French Restaurant,Caribbean Restaurant,Clothing Store
Manhattanville,Coffee Shop,Seafood Restaurant,Italian Restaurant,Mexican Restaurant,Fried Chicken Joint,Grocery Store,Boutique,Sushi Restaurant,Supermarket,Gastropub
Marble Hill,Gym,Discount Store,Coffee Shop,Sandwich Place,Yoga Studio,Pizza Place,Deli / Bodega,Department Store,Diner,Pharmacy
Midtown,Hotel,Clothing Store,Sporting Goods Shop,Coffee Shop,Theater,Bookstore,Bakery,Gym,Japanese Restaurant,Bar
Midtown South,Korean Restaurant,Hotel,Japanese Restaurant,American Restaurant,Cosmetics Shop,Burger Joint,Café,Salad Place,Coffee Shop,Hotel Bar
Morningside Heights,Coffee Shop,Bookstore,American Restaurant,Park,Deli / Bodega,Burger Joint,Café,Indian Restaurant,Farmers Market,Mediterranean Restaurant
Murray Hill,Hotel,Sandwich Place,Coffee Shop,Bar,Italian Restaurant,Burger Joint,Japanese Restaurant,Gym / Fitness Center,American Restaurant,Café
Noho,Italian Restaurant,Mexican Restaurant,Coffee Shop,Cocktail Bar,Yoga Studio,Sushi Restaurant,Grocery Store,Art Gallery,Sandwich Place,Hotel
Roosevelt Island,Park,Indie Theater,Farmers Market,Gym,Greek Restaurant,Metro Station,Supermarket,Monument / Landmark,Bus Line,Food & Drink Shop
Soho,Clothing Store,Italian Restaurant,Coffee Shop,Asian Restaurant,Bakery,Boutique,Sporting Goods Shop,Mediterranean Restaurant,Dessert Shop,Women's Store
Stuyvesant Town,Bar,Park,Coffee Shop,Fountain,German Restaurant,Boat or Ferry,Bistro,Skating Rink,Gym / Fitness Center,Farmers Market
Sutton Place,Italian Restaurant,Gym,Park,Gym / Fitness Center,Pizza Place,Furniture / Home Store,Coffee Shop,Burger Joint,Bakery,Grocery Store
Tribeca,Park,Italian Restaurant,Spa,American Restaurant,Wine Bar,Greek Restaurant,Men's Store,Bakery,Café,Coffee Shop
Tudor City,Park,Café,Mexican Restaurant,Coffee Shop,Diner,Dog Run,Garden,Deli / Bodega,Sushi Restaurant,Thai Restaurant
Turtle Bay,Italian Restaurant,Coffee Shop,Deli / Bodega,Park,Sandwich Place,Seafood Restaurant,Japanese Restaurant,Sushi Restaurant,Café,Ramen Restaurant
Upper East Side,Italian Restaurant,Exhibit,Coffee Shop,Bakery,Yoga Studio,Pizza Place,Juice Bar,Boutique,Hotel,Gym / Fitness Center
Upper West Side,Italian Restaurant,Bar,Café,Bakery,Indian Restaurant,Wine Bar,French Restaurant,Dessert Shop,Yoga Studio,Sports Bar
Washington Heights,Café,Bakery,Mobile Phone Shop,Grocery Store,Chinese Restaurant,New American Restaurant,Wine Shop,Coffee Shop,Bank,Sandwich Place
West Village,Italian Restaurant,New American Restaurant,Cocktail Bar,Jazz Club,Park,American Restaurant,Wine Bar,Theater,Cosmetics Shop,Coffee Shop
Yorkville,Italian Restaurant,Coffee Shop,Gym,Bar,Deli / Bodega,Diner,Pizza Place,Japanese Restaurant,Wine Shop,Sushi Restaurant
